date_july,local_ip_july,remote_asn_july,flows_july,date_aug,local_ip_aug,remote_asn_aug,flows_aug,date_sept,local_ip_sept,remote_asn_sept,flows_sept
701,6,19548,1,801,3,9808,1,901,6,9318,2
701,7,109,7,801,3,16246,1,901,6,9394,4
701,7,2152,46,801,3,25525,1,901,6,14361,2
701,7,3356,55,801,4,7132,175,901,6,23859,1
701,7,3491,3,801,4,9316,307,901,6,25351,4
701,7,3561,35,801,4,12322,1,901,7,786,2
701,7,3582,10,801,4,16246,944,901,7,1221,2
701,7,4513,6,801,4,19262,1,901,7,1239,7
701,7,6432,10,801,4,29895,35,901,7,1668,2
701,7,7805,2,801,4,31976,98,901,7,2152,15
701,7,7859,2,801,4,35315,9,901,7,3320,2
701,7,8070,5,801,5,2152,2,901,7,3582,10
701,7,9156,2,801,5,3320,4,901,7,3701,2
701,7,10565,2,801,5,3356,2,901,7,7015,6
701,7,10763,5,801,5,3561,1,901,7,8070,3
701,7,12222,2,801,5,4134,1,901,7,8473,50
701,7,15169,32,801,5,4812,2,901,7,8560,1
701,7,15290,2,801,5,7132,23,901,7,9156,19
701,7,15830,19,801,5,8070,3,901,7,10763,2
701,7,16759,4,801,5,8075,8,901,7,11414,3
701,7,17210,7,801,5,9316,1,901,7,15169,85
701,7,18924,48,801,5,12322,1,901,7,18924,48
701,7,19306,15,801,5,13867,2,901,7,20940,1
701,7,21844,26,801,5,16246,1,901,7,21844,273
701,7,22277,5,801,5,18118,4,901,7,25351,4
701,7,22822,2,801,5,25525,2,901,7,36856,32
701,7,25969,6,801,6,3320,2,901,8,14,5
701,7,26085,5,801,6,3462,2,901,8,209,3
701,7,26101,15,801,6,7132,19,901,8,679,33
701,7,26229,16,801,6,9316,1,901,8,701,4
701,7,29720,8,801,6,9808,2,901,8,1221,1
701,7,32934,7,801,6,12322,1,901,8,1668,19
701,7,33419,2,801,6,16246,2,901,8,2152,15
701,8,25,4,801,6,18118,1,901,8,2914,4
701,8,26,3,801,6,25525,2,901,8,3356,2
701,8,109,7,801,7,109,11,901,8,3561,7
701,8,209,4,801,7,209,19,901,8,3595,2
701,8,557,10,801,7,237,3,901,8,3701,1
701,8,786,6,801,7,1239,6,901,8,3999,23
701,8,1103,1,801,7,2152,35,901,8,4265,42
701,8,1653,5,801,7,3561,20,901,8,5662,64
701,8,1668,4,801,7,3582,10,901,8,6461,1
701,8,2152,21,801,7,3701,3,901,8,6724,10
701,8,2386,7,801,7,4513,1,901,8,7015,1
701,8,2834,23,801,7,6354,13,901,8,7342,3
701,8,3356,5,801,7,6432,1,901,8,7362,5
701,8,3561,5,801,7,7132,2,901,8,7393,2
701,8,3701,4,801,7,8070,3,901,8,8001,3
701,8,3999,1,801,7,8560,1,901,8,8075,4
701,8,4266,4,801,7,9156,5,901,8,8188,5
701,8,5653,16,801,7,10763,3,901,8,8560,4
701,8,5662,13,801,7,10933,1,901,8,10316,38
701,8,6140,4,801,7,11486,6,901,8,10565,2
701,8,6453,4,801,7,12182,3,901,8,10933,3
701,8,6939,4,801,7,12222,2,901,8,11078,5
701,8,7805,1,801,7,12293,6,901,8,11486,17
701,8,8001,4,801,7,12312,8,901,8,11743,7
701,8,8070,6,801,7,14806,1,901,8,11995,4
701,8,8075,7,801,7,14825,6,901,8,12222,4
701,8,8468,6,801,7,15169,66,901,8,13462,6
701,8,10913,4,801,7,16805,8,901,8,13827,6
701,8,12552,4,801,7,18705,2,901,8,15169,530
701,8,13890,4,801,7,18924,48,901,8,16807,1
701,8,15169,228,801,7,19024,3,901,8,17055,6
701,8,15290,1,801,7,21506,2,901,8,17557,226
701,8,17374,5,801,7,21844,14,901,8,21844,4
701,8,21844,1,801,7,29668,3,901,8,23504,5
701,8,22205,4,801,7,32070,1,901,8,25351,1
701,8,22822,8,801,7,33419,1,901,8,26228,2
701,8,22982,4,801,7,33694,8,901,8,29720,4
701,8,27357,2,801,7,36839,4,901,8,29791,5
701,8,33554,4,801,7,36856,10,901,8,30217,29
701,9,102,43,801,8,109,11,901,8,31883,1
701,9,209,6,801,8,3462,1016,901,8,36856,4
701,9,559,1,801,8,3561,1,901,9,2152,1
701,9,701,8,801,8,3701,3,901,9,8070,1
701,9,1239,17,801,8,7132,1,901,9,8075,2
701,9,2152,193,801,8,8070,2,902,0,701,4
701,9,2911,71,801,8,9316,307,902,0,3561,13
701,9,3356,34,801,8,9808,1057,902,0,3671,28
701,9,3561,13,801,8,15169,102,902,0,4766,1
701,9,4267,2,801,9,209,4,902,0,5617,1
701,9,5779,104,801,9,797,8,902,0,5713,3
701,9,6432,5,801,9,1239,16,902,0,7132,4
701,9,6453,7,801,9,2152,13,902,0,7552,1
701,9,7224,5,801,9,3356,5,902,0,7738,1
701,9,7743,32,801,9,3561,304,902,0,9121,1
701,9,8070,6,801,9,3701,2,902,0,9318,1
701,9,8075,2,801,9,4265,1,902,0,10738,1
701,9,8912,5,801,9,4266,1,902,0,12312,2
701,9,10565,1,801,9,6140,1,902,0,12479,1
701,9,10763,6,801,9,6432,14,902,0,13462,41
701,9,10794,7,801,9,7018,12,902,0,13867,1
701,9,11266,59,801,9,7132,9,902,0,14779,3
701,9,11486,15,801,9,7839,95,902,0,15703,1
701,9,11499,6,801,9,8001,1,902,0,17488,3
701,9,12182,9,801,9,8070,6,902,0,17557,1
701,9,12217,12,801,9,8075,31,902,0,18302,11
701,9,12222,7,801,9,8137,23,902,0,20258,1
701,9,14779,79,801,9,10532,1,902,2,47,1
701,9,14780,328,801,9,10763,18,902,2,81,2
701,9,15169,40,801,9,10794,6,902,2,209,9
701,9,16509,15,801,9,10910,6,902,2,1241,2
701,9,17110,8,801,9,10913,1,902,2,1312,86
701,9,22758,4,801,9,11051,4,902,2,1853,6
701,9,26101,89,801,9,11266,50,902,2,3557,10
701,9,30217,6,801,9,11486,11,902,2,3561,11
701,9,33419,1,801,9,11922,1,902,2,4323,4
701,9,36088,217,801,9,11944,3,902,2,5650,14
702,0,209,1,801,9,12129,4,902,2,6364,3
702,0,701,1,801,9,12168,4,902,2,7018,144
702,0,766,1,801,9,12217,7,902,2,7132,2
702,0,2514,1,801,9,12222,9,902,2,7377,85
702,0,2711,1,801,9,12552,1,902,2,9318,1
702,0,2819,1,801,9,13890,1,902,2,11414,2
702,0,2856,1,801,9,14280,1,902,2,13749,2
702,0,3269,8,801,9,14361,1,902,2,14425,11
702,0,3320,1,801,9,15169,513,902,2,15703,1
702,0,3561,14,801,9,17374,2,902,2,17557,1
702,0,4766,1,801,9,19296,32,902,2,18302,87
702,0,5462,1,801,9,19893,3,902,2,18530,3
702,0,9038,1,801,9,20461,4,902,2,19918,10
702,0,9708,1,801,9,20940,2,902,2,29863,6
702,0,10139,1,801,9,21844,4,902,2,30099,1
702,0,11351,2,801,9,22205,1,902,2,31405,4
702,0,12322,1,801,9,22822,4,902,2,33260,4
702,0,12542,1,801,9,22982,1,902,2,33650,628
702,0,12946,1,801,9,23393,12,902,2,33651,9
702,0,13462,16,801,9,26228,17,902,2,36384,4
702,0,13749,849,801,9,26447,18,902,3,1668,2
702,0,15802,1,801,9,27357,2,902,3,2152,2
702,0,17506,2,801,9,27482,2,902,3,4134,3
702,0,17858,1,801,9,29720,1,902,3,4755,1
702,0,19262,1,801,9,29791,2,902,3,4837,4
702,0,20401,1,801,9,29973,4,902,3,6128,2
702,0,22909,1,801,9,30217,4,902,3,6197,1
702,0,24093,2,801,9,30475,7,902,3,6461,6
702,0,26085,1,801,9,31815,35,902,3,7132,2
702,0,26101,1,801,9,32244,1,902,3,9318,2
702,0,28573,1,801,9,33554,1,902,3,11845,1
702,0,33651,1,801,9,36856,2,902,3,15703,2
702,0,33657,1,802,0,226,1,902,3,17557,1
702,0,35916,1,802,0,701,1,902,3,18302,1
702,1,766,1,802,0,1239,542,902,3,18566,1
702,1,2852,2,802,0,2914,1,902,3,18942,2
702,1,2856,6,802,0,3356,1,902,4,4323,1
702,1,3265,1611,802,0,3462,1,902,4,4755,7
702,1,3269,50,802,0,3561,63,902,4,7132,2
702,1,3354,2,802,0,3671,11,902,4,9318,1
702,1,3549,1,802,0,4134,7,902,4,15703,1
702,1,3561,8,802,0,4230,476,902,4,17557,1
702,1,4134,2,802,0,4837,2,902,4,18302,12
702,1,4323,1,802,0,5617,1,902,4,29895,30
702,1,4766,1,802,0,5650,1,902,4,31976,84
702,1,4808,9,802,0,6198,1,902,4,33651,43
702,1,4812,1,802,0,6432,1,902,5,2152,5
702,1,4837,3,802,0,6724,1,902,5,3561,2
702,1,5432,1,802,0,6821,1,902,5,4134,3
702,1,6478,2,802,0,6939,1,902,5,4755,2
702,1,7132,1,802,0,7015,1,902,5,4837,5
702,1,11351,1,802,0,7018,1,902,5,6128,2
702,1,11427,2,802,0,7643,2,902,5,6197,2
702,1,11908,1,802,0,7738,1,902,5,7132,2
702,1,12302,53,802,0,8151,1,902,5,8070,3
702,1,12322,1,802,0,8167,1,902,5,8075,5
702,1,13571,2,802,0,8708,1,902,5,9318,1
702,1,13749,849,802,0,9121,1,902,5,11845,1
702,1,13767,4,802,0,10796,2,902,5,13867,2
702,1,14777,7,802,0,11829,1,902,5,14265,2
702,1,14778,16,802,0,12874,2,902,5,15703,1
702,1,15169,10,802,0,13462,23,902,5,17557,1
702,1,16852,2,802,0,13749,1,902,5,18302,1
702,1,17184,3,802,0,13867,1,902,5,18566,2
702,1,19548,2,802,0,14492,1,902,5,18942,1
702,1,19945,1,802,0,17228,1,902,5,31110,1
702,1,22773,1,802,0,17676,1,902,6,4134,5
702,1,32244,1,802,0,19262,1,902,6,4837,3
702,1,33287,1,802,0,20959,1,902,6,6128,2
702,1,33653,1,802,0,26101,2,902,6,6197,4
702,1,36727,1,802,0,26831,1,902,6,7132,2
702,2,174,1,802,0,28878,1,902,6,9318,2
702,2,766,1,802,0,31820,2,902,6,9394,4
702,2,1312,92,802,1,20,2,902,6,9803,1
702,2,2637,1,802,1,209,5,902,6,11845,1
702,2,2915,38,802,1,278,2,902,6,14265,2
702,2,3557,1,802,1,1239,542,902,6,15703,2
702,2,3561,7,802,1,1299,5,902,6,17557,1
702,2,4323,16,802,1,2900,4,902,6,18302,1
702,2,7018,936,802,1,2914,1,902,6,18566,2
702,2,7132,4,802,1,3215,9,902,6,18942,2
702,2,7377,83,802,1,3265,1460,902,7,1213,2
702,2,12513,3,802,1,3320,2,902,7,1239,6
702,2,13749,849,802,1,3462,1,902,7,2152,6
702,2,29863,4,802,1,3561,15,902,7,3701,2
702,3,766,2,802,1,4134,33,902,7,4589,14
702,3,3269,5,802,1,4230,56,902,7,6372,1
702,3,3354,2,802,1,4266,2,902,7,8070,1
702,3,3593,2,802,1,4755,3,902,7,8075,2
702,3,4134,4,802,1,4766,4,902,7,8560,1
702,3,4808,8,802,1,4812,3,902,7,9156,9
702,3,4837,1,802,1,4837,3,902,7,14265,2
702,3,13582,1,802,1,6327,1,902,7,15169,94
702,3,13749,1,802,1,6939,17,902,7,18566,2
702,3,17184,4,802,1,7132,3,902,7,18924,48
702,4,766,1,802,1,8246,12,902,7,21844,126
702,4,3269,29,802,1,8376,1,902,7,22753,2
702,4,4323,1,802,1,8708,1,902,7,30099,2
702,4,13749,390,802,1,9316,1,902,7,33322,2
702,4,14778,4,802,1,9976,2,902,7,36856,19
702,4,29895,413,802,1,12302,160,902,8,38,6
702,4,31976,85,802,1,12390,2,902,8,174,4
702,4,33651,18,802,1,14778,6,902,8,680,5
702,5,209,1,802,1,14780,1,902,8,714,1
702,5,766,1,802,1,17676,1,902,8,1114,3
702,5,2152,2,802,1,17813,3,902,8,1239,3
702,5,3269,5,802,1,19262,1,902,8,1653,5
702,5,3356,1,802,1,19604,2,902,8,1668,9
702,5,3593,1,802,1,21844,1,902,8,2152,36
702,5,4134,10,802,1,24634,2,902,8,2553,37
702,5,4808,7,802,1,27257,12,902,8,2669,3
702,5,4837,2,802,1,28573,2,902,8,3356,3
702,5,8070,5,802,1,30989,1,902,8,3561,7
702,5,8075,5,802,1,36657,1,902,8,4264,2
702,5,10139,7,802,2,16,2,902,8,5662,18
702,5,11351,2,802,2,81,13,902,8,7018,21
702,5,13749,1,802,2,1239,278,902,8,7896,4
702,5,13867,2,802,2,1312,107,902,8,8075,2
702,5,14366,4,802,2,2637,1,902,8,8137,28
702,5,17184,2,802,2,3561,9,902,8,8188,2
702,5,17429,2,802,2,4230,1,902,8,10316,4
702,6,766,1,802,2,4323,4,902,8,10565,4
702,6,3269,5,802,2,5650,158,902,8,10763,9
702,6,3354,2,802,2,6079,5,902,8,10933,9
702,6,4134,5,802,2,6478,6,902,8,11303,2
702,6,4808,8,802,2,7132,6,902,8,11834,7
702,6,4812,1,802,2,7377,97,902,8,12168,5
702,6,4837,2,802,2,7774,1,902,8,12222,3
702,6,13749,1,802,2,11414,6,902,8,13749,2
702,6,17184,2,802,2,17676,1,902,8,13827,12
702,7,109,7,802,2,20057,10,902,8,14265,1
702,7,2152,6,802,2,29863,9,902,8,14361,3
702,7,3561,1,802,2,32102,7,902,8,14742,2
702,7,8070,2,802,2,33260,4,902,8,15169,416
702,7,8075,2,802,2,33650,15,902,8,15171,2
702,7,17184,2,802,3,1239,1,902,8,16807,1
702,7,18924,48,802,3,2900,2,902,8,17055,5
702,8,109,7,802,3,3320,1,902,8,17557,1956
702,8,3356,1,802,3,4134,35,902,8,18566,1
702,8,3701,4,802,3,4230,2,902,8,20940,2
702,8,8075,2,802,3,8708,1,902,8,21568,2
702,8,13749,570,802,3,17676,2,902,8,26201,2
702,8,15169,105,802,3,17897,1,902,8,26238,5
702,9,7132,2,802,3,21844,2,902,8,26347,1
702,9,8070,3,802,3,27257,2,902,8,29720,5
703,0,52,1,802,4,1239,542,902,8,29854,2
703,0,209,1,802,4,2914,9,902,8,30217,76
703,0,701,7,802,4,4134,1,902,8,30315,1
703,0,2856,1,802,4,4323,1,902,8,30687,7
703,0,3269,9,802,4,6428,1,902,8,31883,1
703,0,3462,1,802,4,14778,7,902,8,32878,1
703,0,3561,28,802,4,17676,1,902,8,35845,1
703,0,3790,1,802,4,27257,3,902,9,2152,1
703,0,4134,1,802,4,31976,85,902,9,8070,1
703,0,4323,1,802,5,1239,1,902,9,8075,2
703,0,4513,101,802,5,2152,2,903,0,209,1
703,0,4766,3,802,5,2900,5,903,0,701,2
703,0,4837,1,802,5,3320,2,903,0,1680,1
703,0,5384,1,802,5,3561,1,903,0,3561,18
703,0,5486,1,802,5,4134,26,903,0,3671,3
703,0,6147,1,802,5,4230,1,903,0,4134,3
703,0,6432,1,802,5,7132,2,903,0,4230,1
703,0,6724,1,802,5,8070,6,903,0,4279,2
703,0,7029,1,802,5,8075,5,903,0,5466,1
703,0,8151,1,802,5,8708,1,903,0,5617,1
703,0,8167,1,802,5,13867,2,903,0,7015,1
703,0,9121,2,802,5,17676,2,903,0,7018,1
703,0,9394,1,802,5,21844,1,903,0,7132,2
703,0,9811,1,802,5,27257,2,903,0,7497,2
703,0,12270,1,802,5,39561,1,903,0,8708,1
703,0,12970,1,802,6,1239,1,903,0,10139,1
703,0,13462,17,802,6,2900,1,903,0,10429,1
703,0,13867,1,802,6,3320,6,903,0,10796,1
703,0,16338,1,802,6,4134,25,903,0,13462,29
703,0,18229,1,802,6,4515,1,903,0,14390,1
703,0,19115,1,802,6,4812,1,903,0,15802,504
703,0,19864,48,802,6,8708,2,903,0,16755,1
703,0,26085,3,802,6,17676,2,903,0,17557,1
703,0,26101,2,802,6,21844,2,903,0,17839,1
703,0,31976,1,802,6,27257,2,903,0,19262,1
703,0,33650,1,802,7,17,1,903,0,21615,1
703,0,33651,1,802,7,71,17,903,0,24863,6
703,0,36727,2,802,7,109,15,903,0,33070,1
703,1,3,5,802,7,174,13,903,2,1312,84
703,1,209,1,802,7,701,11,903,2,1853,30
703,1,680,2,802,7,1239,8,903,2,3557,19
703,1,2711,1,802,7,1889,1,903,2,3561,7
703,1,3265,1564,802,7,2152,77,903,2,4323,6
703,1,3269,30,802,7,2637,6,903,2,5650,13
703,1,3320,1074,802,7,2914,105,903,2,6106,1
703,1,3462,1,802,7,3320,5,903,2,7018,144
703,1,3561,1,802,7,3356,10,903,2,7132,2
703,1,4134,7,802,7,3428,2,903,2,7377,84
703,1,4230,1,802,7,3561,45,903,2,8001,1
703,1,4513,101,802,7,3614,6,903,2,11939,8
703,1,4766,3,802,7,3701,7,903,2,12129,1
703,1,5617,1,802,7,4264,2,903,2,12182,2
703,1,5668,2,802,7,6432,12,903,2,14425,14
703,1,6388,1,802,7,7132,5,903,2,15169,8
703,1,6461,6,802,7,7342,2,903,2,15802,374
703,1,6478,1,802,7,7726,3,903,2,29863,6
703,1,7015,1,802,7,7859,5,903,2,30099,9
703,1,7132,5,802,7,8070,1,903,2,30217,70
703,1,7303,1,802,7,8075,2,903,2,31405,50
703,1,7718,1,802,7,8560,2,903,2,33260,3
703,1,9271,2,802,7,9156,16,903,2,33650,208
703,1,9394,1,802,7,9218,2,903,2,33651,6
703,1,9808,1,802,7,9318,30,903,3,4134,3
703,1,9908,1,802,7,10532,1,903,3,4279,2
703,1,9929,2,802,7,10763,6,903,3,4766,2
703,1,11427,1,802,7,10910,6,903,3,7497,42
703,1,11456,1,802,7,11486,3,903,3,14745,2
703,1,12271,1,802,7,11590,8,903,3,15802,2
703,1,12302,190,802,7,11743,2,903,3,18942,1
703,1,12322,1,802,7,12168,4,903,4,2828,3
703,1,13767,4,802,7,12182,19,903,4,4279,636
703,1,14742,2,802,7,13890,35,903,4,4323,1
703,1,14777,12,802,7,14743,1,903,4,6428,1
703,1,14778,13,802,7,15169,191,903,4,7132,2
703,1,14780,1,802,7,16406,2,903,4,7497,2
703,1,15169,5,802,7,16509,5,903,4,15802,249
703,1,17974,2,802,7,16966,1,903,4,31976,83
703,1,18229,1,802,7,18924,48,903,4,33651,13
703,1,19318,2,802,7,19024,4,903,5,209,1
703,1,19429,2,802,7,19647,31,903,5,2152,4
703,1,20676,2,802,7,20940,35,903,5,2828,5
703,1,22773,1,802,7,21568,4,903,5,3462,1
703,1,32244,1,802,7,21844,71,903,5,3561,1
703,1,33287,2,802,7,22849,7,903,5,4134,1
703,1,33651,1,802,7,25655,3,903,5,4279,2
703,1,33668,1,802,7,25751,3,903,5,4766,2
703,2,1312,103,802,7,25786,2,903,5,7497,22
703,2,2637,1,802,7,25867,6,903,5,8070,6
703,2,3269,3,802,7,26108,7,903,5,8075,4
703,2,3561,4,802,7,26201,2,903,5,13867,2
703,2,3701,1,802,7,27477,6,903,5,14745,4
703,2,4323,8,802,7,27522,36,903,5,15802,1
703,2,4513,101,802,7,30217,26,903,5,18942,1
703,2,4766,1,802,7,33070,1,903,6,3356,1
703,2,5617,10,802,7,33694,1,903,6,4134,3
703,2,6106,1,802,7,36221,5,903,6,4279,2
703,2,7018,933,802,7,36856,29,903,6,4766,4
703,2,7065,1,802,8,109,15,903,6,7497,22
703,2,7132,5,802,8,3320,1,903,6,9394,5
703,2,7377,94,802,8,3561,1,903,6,14745,5
703,2,9316,1,802,8,3701,3,903,6,15802,2
703,2,9394,1,802,8,8070,2,903,6,17431,1
703,2,12260,4,802,8,15169,104,903,6,18942,2
703,2,16572,8,802,9,3,54,903,6,24139,13
703,2,18229,1,802,9,111,3,903,7,2152,2
703,2,19306,3,802,9,174,11,903,7,3701,1
703,2,29863,8,802,9,209,7,903,7,8070,1
703,2,30099,4,802,9,701,8,903,7,8075,2
703,3,680,2,802,9,714,8,903,7,9156,24
703,3,3269,6,802,9,786,1,903,7,15169,100
703,3,4134,6,802,9,797,8,903,7,18924,48
703,3,4230,1,802,9,1239,20,903,7,36856,48
703,3,4513,1,802,9,2152,460,903,8,2152,1
703,3,4766,2,802,9,2914,8,903,8,8075,2
703,3,4808,1,802,9,3064,13,903,8,15169,4
703,3,7132,1,802,9,3356,26,903,9,2152,2
703,3,9271,1,802,9,3549,71,903,9,8070,1
703,3,9394,1,802,9,3561,313,903,9,8075,4
703,3,17429,1,802,9,4182,5,904,0,209,1
703,3,18229,1,802,9,4323,37,904,0,701,8
703,3,19318,1,802,9,4513,1,904,0,3462,2
703,4,3269,6,802,9,5048,60,904,0,3561,32
703,4,4513,101,802,9,5067,4,904,0,3671,17
703,4,4766,1,802,9,5539,7,904,0,4134,5
703,4,7132,15,802,9,5779,332,904,0,4780,2
703,4,9394,1,802,9,6354,56,904,0,4837,7
703,4,9803,2,802,9,6431,1,904,0,5610,1
703,4,14777,2,802,9,6432,78,904,0,5617,1
703,4,18229,1,802,9,6939,23,904,0,6478,1
703,4,22855,34,802,9,7018,10,904,0,6724,1
703,4,31976,82,802,9,7065,6,904,0,6739,1
703,5,680,2,802,9,7091,1,904,0,7770,1
703,5,2152,2,802,9,7132,9,904,0,8560,2
703,5,3269,6,802,9,7349,23,904,0,8972,1
703,5,3561,4,802,9,7743,41,904,0,9371,1
703,5,4134,3,802,9,8070,4,904,0,9929,1
703,5,4230,2,802,9,8075,27,904,0,10318,1
703,5,4513,2,802,9,8137,18,904,0,10439,2
703,5,4766,1,802,9,8560,4,904,0,11351,1
703,5,4808,3,802,9,10316,16,904,0,11427,2
703,5,6432,4,802,9,10532,2,904,0,12501,5
703,5,7132,2,802,9,10763,5,904,0,12735,1
703,5,8070,6,802,9,10794,17,904,0,13462,42
703,5,8075,6,802,9,10910,25,904,0,20484,1
703,5,9156,1,802,9,10933,3,904,0,21844,1
703,5,9271,2,802,9,11266,2,904,0,27357,1
703,5,9316,1,802,9,11339,1,904,0,27699,2
703,5,9394,1,802,9,11486,8,904,0,31034,1
703,5,12222,3,802,9,11565,5,904,0,33657,1
703,5,13867,2,802,9,11669,18,904,0,34033,1
